epoch,accuracy,loss,val_accuracy,val_loss
0,0.3847218453884125,1.323126196861267,0.41786742210388184,1.2661672830581665
1,0.6518129110336304,0.9828231334686279,0.6628242135047913,0.9056048393249512
2,0.7910323739051819,0.587401807308197,0.6974063515663147,0.7736327648162842
3,0.8488790392875671,0.4149719774723053,0.6945244669914246,0.7600602507591248
4,0.8784943222999573,0.3316667377948761,0.6858789920806885,0.7528447508811951
5,0.9078328013420105,0.26733657717704773,0.6974063515663147,0.8435439467430115
6,0.9266537427902222,0.2229384183883667,0.6974063515663147,0.8829249739646912
7,0.9410462379455566,0.19067054986953735,0.6829971075057983,0.9247362613677979
8,0.9504566788673401,0.156163290143013,0.6772334575653076,1.0067083835601807
9,0.9590368270874023,0.13613824546337128,0.680115282535553,1.0715850591659546
10,0.9642956256866455,0.12168940156698227,0.6858789920806885,1.1726057529449463
11,0.9665098190307617,0.11582984030246735,0.6772334575653076,1.1759485006332397
12,0.9676169157028198,0.11045177280902863,0.6887608170509338,1.2372115850448608
13,0.971491813659668,0.09772206097841263,0.680115282535553,1.3226416110992432
14,0.9717686176300049,0.09524360299110413,0.6657060384750366,1.4205340147018433
15,0.9712150692939758,0.09458333253860474,0.6714697480201721,1.3817431926727295
16,0.971491813659668,0.08345333486795425,0.6829971075057983,1.4019660949707031
17,0.975089967250824,0.07728788256645203,0.651296854019165,1.511022686958313
18,0.975089967250824,0.0815681666135788,0.6599423885345459,1.483054757118225
19,0.9767506122589111,0.07516193389892578,0.651296854019165,1.5387380123138428
20,0.976473867893219,0.06861748546361923,0.680115282535553,1.4904651641845703
21,0.976473867893219,0.07202843576669693,0.6743515729904175,1.5525668859481812
22,0.977027416229248,0.07114711403846741,0.6599423885345459,1.5605543851852417
23,0.9784113168716431,0.065360426902771,0.6570605039596558,1.608252763748169
24,0.975643515586853,0.0660967007279396,0.6628242135047913,1.6249618530273438
